Region,Location,Weather,"Sedimentary 
environment",Mangrove species,"Environmental
Condition","TOC
(g m-2 yr-1)","SAR
 (mm yr-1)",Source
NORTH AMERICA (n = 22),"Naples Bay, Florida - USA",Subtropical,Adjacent sites,"Avicennia germinans
Laguncularia racemona
Rhizophora mangle",Conserved,50,1.7,"Marchio et al., 2016"
NORTH AMERICA (n = 22),"Naples Bay, Florida - USA",Subtropical,Adjacent sites,"Avicennia germinans
Laguncularia racemona
Rhizophora mangle",Degraded by urban development,74,1.6,"Marchio et al., 2016"
NORTH AMERICA (n = 22),"Florida Keys, Southern Florida - USA",Tropical,Adjacent sites,Avicennia germinans,Impacted by storms,115,1.9,"Callaway et al., 1997"
NORTH AMERICA (n = 22),"Florida Keys, Southern Florida - USA",Tropical,Adjacent sites,Avicennia germinans,Impacted by storms,156,1.9,"Callaway et al., 1997"
NORTH AMERICA (n = 22),"Rookery Bay, Southwest Florida - USA",Temperate,Adjacent sites,"Avicennia germinans
Rhizophora mangle",Impacted by frequent flooding,90,1.7,"Lynch, 1989"
NORTH AMERICA (n = 22),"Rookery Bay, Southwest Florida - USA",Temperate,Adjacent sites,"Avicennia germinans
Rhizophora mangle",Impacted by frequent flooding,69,1.4,"Lynch, 1989"
NORTH AMERICA (n = 22),"Rookery Bay, Southwest Florida - USA",Temperate,Adjacent sites,"Avicennia germinans
Rhizophora mangle",Impacted by frequent flooding,86,1.6,"Lynch, 1989"
NORTH AMERICA (n = 22),"Rookery Bay, Southwest Florida - USA",Temperate,Adjacent sites,Avicennia germinans,Impacted by frequent flooding,99,1.7,"Lynch, 1989"
NORTH AMERICA (n = 22),"Florida Bay, Southeast Florida - USA",Subtropical,Adjacent sites,"Rhizophora mangle
Lagunculariea racemosa
Avicennia germinans",Impacted by storms,235,3.7,"Smoak et al., 2013"
NORTH AMERICA (n = 22),"Naples Bay, Florida - USA",Subtropical,Forest,"Avicennia germinans
Laguncularia racemona
Rhizophora mangle",Conserved,127,2.3,"Marchio et al., 2016"
NORTH AMERICA (n = 22),"Naples Bay, Florida - USA",Subtropical,Forest,"Avicennia germinans
Laguncularia racemona
Rhizophora mangle",Conserved,162,5.4,"Marchio et al., 2016"
NORTH AMERICA (n = 22),"Naples Bay, Florida - USA",Subtropical,Forest,"Avicennia germinans
Laguncularia racemona
Rhizophora mangle",Conserved,126,3,"Marchio et al., 2016"
NORTH AMERICA (n = 22),"Port Aransas, Texas -USA",Subtropical,Forest,"Avicennia germinans
Spartina alterniflora",Conserved,270,7.4,"Bianchi et al., 2013"
NORTH AMERICA (n = 22),"Port Aransas, Texas -USA",Subtropical,Forest,"Avicennia germinans
Spartina alterniflora",Conserved,253,5.4,"Bianchi et al., 2013"
